id,city,state,latitude,longitude,neighbourhood_cleansed,first_review
3939645,Denver,CO,39.76993,-104.96901000000001,Cole,9/22/2014
3960763,Denver,CO,39.68912,-104.98683999999999,Platt Park,10/5/2014
3961440,Denver,CO,39.77277,-105.00998,Sunnyside,9/21/2014
3968613,Denver,CO,39.7731,-105.00997,Sunnyside,9/13/2014
3972450,Denver,CO,39.75399,-104.98194,Five Points,10/11/2015
3979810,Denver,CO,39.68363,-104.95239,University Park,1/3/2015
3992452,Denver,CO,39.72191,-104.99878999999999,Baker,10/5/2014
3992779,Denver,CO,39.73072,-104.9747,Capitol Hill,9/9/2014
4014106,Denver,CO,39.737429999999996,-104.97468,Capitol Hill,
4014983,Denver,CO,39.75484,-104.95683000000001,Skyland,9/7/2014
4051568,Denver,CO,39.76778,-105.0167,Highland,9/8/2015
4052272,Denver,CO,39.76048,-104.94951999999999,Skyland,10/28/2014
4067759,Denver,CO,39.7715,-105.01126000000001,Sunnyside,10/19/2014
4077803,Denver,CO,39.7706,-105.01995,Sunnyside,4/22/2015
4080404,Denver,CO,39.75501,-104.9551,Skyland,6/12/2019
4106247,Denver,CO,39.76204,-105.01455,Highland,9/21/2014
4121643,Denver,CO,39.708490000000005,-104.89128999999998,Windsor,10/24/2014
4121807,Denver,CO,39.69032,-104.9873,Platt Park,10/5/2014
4137490,Denver,CO,39.74351,-104.99483000000001,CBD,10/30/2018
4145663,Denver,CO,39.764379999999996,-105.03379,West Highland,6/15/2015
4150242,Denver,CO,39.75623,-104.97158999999999,Whittier,5/20/2015
4180622,Denver,CO,39.77667,-105.0463,Berkeley,12/28/2014
4191778,Denver,CO,39.719120000000004,-104.99536,Baker,10/5/2014
4211844,Denver,CO,39.77162,-105.01114,Sunnyside,12/29/2014
4219371,Denver,CO,39.71803,-104.99136000000001,Baker,4/20/2015
4227772,Denver,CO,39.760020000000004,-104.97271,Whittier,10/5/2014
4236002,Denver,CO,39.751940000000005,-104.91991000000002,North Park Hill,10/24/2014
4241536,Denver,CO,39.763459999999995,-105.0311,West Highland,12/1/2014
4248060,Denver,CO,39.77697,-105.05238999999999,Berkeley,2/16/2018
4263504,Denver,CO,39.75286,-104.96613,Whittier,11/30/2014
4263661,Denver,CO,39.754220000000004,-104.96463999999999,Whittier,1/17/2015
4263714,Denver,CO,39.7534,-104.96498000000001,Whittier,10/15/2014
4267851,Denver,CO,39.75107,-104.93361999999999,North Park Hill,11/15/2014
4284131,Denver,CO,39.746190000000006,-104.96732,City Park West,10/20/2014
4288813,Denver,CO,39.75708,-104.98178,Five Points,10/18/2014
4294257,Denver,CO,39.73899,-104.94858,Congress Park,10/29/2014
4294398,Denver,CO,39.79083,-104.74548,Gateway - Green Valley Ranch,1/25/2015
4297028,Denver,CO,39.76692,-105.01036,Highland,2/23/2015
